OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
2: Vehicles >= Adults,06: Walk to Transit,8: Joint Discretionary,73.0,0.0
2: Vehicles >= Adults,07: PNR to Transit,8: Joint Discretionary,66.0,0.0
2: Vehicles >= Adults,08: KNR to Transit,8: Joint Discretionary,45.0,0.0
2: Vehicles >= Adults,09: TNC to Transit,8: Joint Discretionary,0.0,0.0
2: Vehicles >= Adults,01: SOV,9: Work-based,47008.0,48651.0
2: Vehicles >= Adults,02: Shared Ride 2,9: Work-based,11679.0,11800.0
2: Vehicles >= Adults,03: Shared Ride 3+,9: Work-based,6074.0,5975.0
2: Vehicles >= Adults,04: Walk,9: Work-based,21553.0,22628.0
2: Vehicles >= Adults,05: Bike,9: Work-based,448.0,563.0
2: Vehicles >= Adults,06: Walk to Transit,9: Work-based,63.0,86.0
2: Vehicles >= Adults,07: PNR to Transit,9: Work-based,43.0,0.0
2: Vehicles >= Adults,08: KNR to Transit,9: Work-based,94.0,0.0
2: Vehicles >= Adults,09: TNC to Transit,9: Work-based,6.0,0.0
2: Vehicles >= Adults,01: SOV,Total,1219569.0,1248327.0
2: Vehicles >= Adults,02: Shared Ride 2,Total,699865.0,729605.0
2: Vehicles >= Adults,03: Shared Ride 3+,Total,923680.0,831989.0
2: Vehicles >= Adults,04: Walk,Total,126115.0,120939.0
2: Vehicles >= Adults,05: Bike,Total,28758.0,25624.0
2: Vehicles >= Adults,06: Walk to Transit,Total,8452.0,8157.0
2: Vehicles >= Adults,07: PNR to Transit,Total,4541.0,3902.0
2: Vehicles >= Adults,08: KNR to Transit,Total,4659.0,3743.0
2: Vehicles >= Adults,09: TNC to Transit,Total,34920.0,1556.0
All Households,01: SOV,1: Work,769230.0,792938.0
All Households,02: Shared Ride 2,1: Work,197622.0,208563.0
All Households,03: Shared Ride 3+,1: Work,86424.0,89984.0
All Households,04: Walk,1: Work,14928.0,19420.0
All Households,05: Bike,1: Work,24811.0,20295.0
All Households,06: Walk to Transit,1: Work,33278.0,33026.0
All Households,07: PNR to Transit,1: Work,5090.0,4082.0
All Households,08: KNR to Transit,1: Work,9091.0,7944.0
All Households,09: TNC to Transit,1: Work,98.0,3.0
All Households,01: SOV,2: University,49340.0,49863.0
All Households,02: Shared Ride 2,2: University,18969.0,20428.0
All Households,03: Shared Ride 3+,2: University,11955.0,12683.0
All Households,04: Walk,2: University,4428.0,4923.0
All Households,05: Bike,2: University,874.0,1619.0
All Households,06: Walk to Transit,2: University,15998.0,15587.0
All Households,07: PNR to Transit,2: University,1307.0,1855.0
All Households,08: KNR to Transit,2: University,3071.0,2725.0
All Households,09: TNC to Transit,2: University,2136.0,0.0
All Households,01: SOV,3: School,20538.0,12459.0
All Households,02: Shared Ride 2,3: School,113724.0,224811.0
All Households,03: Shared Ride 3+,3: School,336408.0,250255.0
All Households,04: Walk,3: School,38857.0,24589.0
All Households,05: Bike,3: School,9922.0,6840.0
All Households,06: Walk to Transit,3: School,5135.0,5281.0
All Households,07: PNR to Transit,3: School,24.0,1.0
All Households,08: KNR to Transit,3: School,852.0,1489.0
All Households,09: TNC to Transit,3: School,73691.0,0.0
All Households,01: SOV,5: Individual Maintenance,511064.0,293007.0
All Households,02: Shared Ride 2,5: Individual Maintenance,496220.0,141153.0
All Households,03: Shared Ride 3+,5: Individual Maintenance,584852.0,178670.0
All Households,04: Walk,5: Individual Maintenance,111470.0,76851.0
All Households,05: Bike,5: Individual Maintenance,7885.0,2602.0
All Households,06: Walk to Transit,5: Individual Maintenance,11898.0,11538.0
All Households,07: PNR to Transit,5: Individual Maintenance,276.0,237.0
All Households,08: KNR to Transit,5: Individual Maintenance,1985.0,1688.0
All Households,09: TNC to Transit,5: Individual Maintenance,173.0,0.0
All Households,01: SOV,6: Individual Discretionary,175203.0,177249.0
All Households,02: Shared Ride 2,6: Individual Discretionary,115599.0,114959.0
All Households,03: Shared Ride 3+,6: Individual Discretionary,106219.0,105697.0
All Households,04: Walk,6: Individual Discretionary,64609.0,68620.0
All Households,05: Bike,6: Individual Discretionary,11918.0,10906.0
All Households,06: Walk to Transit,6: Individual Discretionary,9220.0,9441.0
