trip_mode,tour_mode,purpose,survey_value,model_value
08: KNR to Transit,01: SOV,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,01: SOV,6: Individual Discretionary,0.0,0.0
01: SOV,02: Shared Ride 2,6: Individual Discretionary,76364.0,69148.0
02: Shared Ride 2,02: Shared Ride 2,6: Individual Discretionary,286506.0,263200.0
03: Shared Ride 3+,02: Shared Ride 2,6: Individual Discretionary,761.0,0.0
04: Walk,02: Shared Ride 2,6: Individual Discretionary,23599.0,19872.0
05: Bike,02: Shared Ride 2,6: Individual Discretionary,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,6: Individual Discretionary,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,6: Individual Discretionary,0.0,0.0
01: SOV,03: Shared Ride 3+,6: Individual Discretionary,26021.0,26603.0
02: Shared Ride 2,03: Shared Ride 3+,6: Individual Discretionary,51233.0,52843.0
03: Shared Ride 3+,03: Shared Ride 3+,6: Individual Discretionary,228546.0,238451.0
04: Walk,03: Shared Ride 3+,6: Individual Discretionary,14348.0,13170.0
05: Bike,03: Shared Ride 3+,6: Individual Discretionary,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,6: Individual Discretionary,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,6: Individual Discretionary,0.0,0.0
01: SOV,04: Walk,6: Individual Discretionary,0.0,0.0
02: Shared Ride 2,04: Walk,6: Individual Discretionary,0.0,0.0
03: Shared Ride 3+,04: Walk,6: Individual Discretionary,0.0,0.0
04: Walk,04: Walk,6: Individual Discretionary,197596.0,197325.0
05: Bike,04: Walk,6: Individual Discretionary,0.0,0.0
06: Walk to Transit,04: Walk,6: Individual Discretionary,0.0,0.0
07: PNR to Transit,04: Walk,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,04: Walk,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,04: Walk,6: Individual Discretionary,0.0,0.0
01: SOV,05: Bike,6: Individual Discretionary,2744.0,0.0
02: Shared Ride 2,05: Bike,6: Individual Discretionary,2306.0,0.0
03: Shared Ride 3+,05: Bike,6: Individual Discretionary,539.0,0.0
04: Walk,05: Bike,6: Individual Discretionary,1377.0,0.0
05: Bike,05: Bike,6: Individual Discretionary,24917.0,30768.0
06: Walk to Transit,05: Bike,6: Individual Discretionary,0.0,0.0
07: PNR to Transit,05: Bike,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,05: Bike,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,05: Bike,6: Individual Discretionary,0.0,0.0
01: SOV,06: Walk to Transit,6: Individual Discretionary,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,6: Individual Discretionary,818.0,1940.0
03: Shared Ride 3+,06: Walk to Transit,6: Individual Discretionary,430.0,0.0
04: Walk,06: Walk to Transit,6: Individual Discretionary,1933.0,3865.0
05: Bike,06: Walk to Transit,6: Individual Discretionary,6.0,0.0
06: Walk to Transit,06: Walk to Transit,6: Individual Discretionary,17741.0,15626.0
07: PNR to Transit,06: Walk to Transit,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,06: Walk to Transit,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,06: Walk to Transit,6: Individual Discretionary,0.0,0.0
01: SOV,07: PNR to Transit,6: Individual Discretionary,395.0,0.0
02: Shared Ride 2,07: PNR to Transit,6: Individual Discretionary,593.0,131.0
03: Shared Ride 3+,07: PNR to Transit,6: Individual Discretionary,666.0,184.0
04: Walk,07: PNR to Transit,6: Individual Discretionary,541.0,210.0
05: Bike,07: PNR to Transit,6: Individual Discretionary,129.0,0.0
06: Walk to Transit,07: PNR to Transit,6: Individual Discretionary,181.0,0.0
07: PNR to Transit,07: PNR to Transit,6: Individual Discretionary,417.0,441.0
08: KNR to Transit,07: PNR to Transit,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,07: PNR to Transit,6: Individual Discretionary,0.0,0.0
01: SOV,08: KNR to Transit,6: Individual Discretionary,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,6: Individual Discretionary,992.0,969.0
